FACULTY OF HUMANITIES,,,,,,
"QUALIFICATION
CODE",QUALIFICATION NAME,"SUBJECT
CODE",SUBJECT NAME,"STUDY
PERIOD","SA/SADC STUDENT
FEE","FOREIGN
STUDENT FEE"
DP_LPM,"DIPLOMA IN LANGUAGE PRAC &
MEDIA STUDIES",CPU10BS,COMPUTER USAGE I,1,"8 ,050","12,070"
,,DLC5012,BASIC DIGITAL LITERACY,1,"3 ,250","4,930"
,,FCH10AS,FRENCH I,1,"5 ,510","8,260"
,,GER10AS,GERMAN I,1,"5 ,510","8,260"
,,INT10AS,INTERCULTURAL STUDIES,1,"5 ,510","8,260"
,,LAA10AS,AFRIKAANS I,1,"3 ,190","4,790"
,,LAE10AS,ENGLISH I,1,"3 ,190","4,790"
,,LCS5001,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"2 ,950","4,420"
,,MDS10AS,MEDIA STUDIES I,1,"5 ,110","7,660"
,,NMR5011,NUMERACY,1,"4 ,500","6,750"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,SOT10AS,SESOTHO I,1,"5 ,340","8,030"
,,TSW10AS,SETSWANA I,1,"3 ,190","4,790"
,,TVP10AS,LANGUAGE AND TRANSLATION PRACTICE I,1,"5 ,510","8,260"
,,XHS10AS,ISIXHOSA I,1,"3 ,190","4,790"
,,CPU20BS,COMPUTER USAGE II,2,"8 ,050","12,070"
,,FCH20AS,FRENCH II,2,"5 ,510","8,260"
,,GER20AS,GERMAN II,2,"5 ,510","8,260"
,,LAA20AS,AFRIKAANS II,2,"3 ,190","4,790"
,,LAE20AS,ENGLISH II,2,"3 ,190","4,790"
,,MDS20AS,MEDIA STUDIES II,2,"3 ,830","5,740"
,,SOT20AS,SESOTHO II,2,"5 ,340","8,030"
,,TSW20AS,SETSWANA II,2,"3 ,190","4,790"
,,TVP20AS,LANGUAGE AND TRANSLATION PRACTICE II,2,"5 ,510","8,260"
,,VID10AS,VIDEO: THEORY AND PRACTICE I,2,"7 ,220","10,830"
,,XHS20AS,ISIXHOSA II,2,"3 ,190","4,790"
,,FCH30AS,FRENCH III,3,"5 ,510","8,260"
,,GER30AS,GERMAN III,3,"5 ,510","8,260"
,,LAA30AS,AFRIKAANS III,3,"3 ,190","4,790"
,,LAE30AS,ENGLISH III,3,"3 ,190","4,790"
,,LPM30WL,"WIL FOR LANGUAGE PRACTICE & MEDIA
STUDIES",3,"5 ,590","8,380"
,,MDS30AS,MEDIA STUDIES III,3,"5 ,860","8,790"
,,OPR10AS,PUBLIC SPEAKING I,3,"3 ,230","4,850"
,,SAD10AS,BUSINESS ADMINISTRATION I,3,"5 ,320","7,970"
,,SOT30AS,SESOTHO III,3,"5 ,340","8,030"
,,TSW30AS,SETSWANA III,3,"3 ,190","4,790"
,,TVP30AS,LANGUAGE AND TRANSLATION PRACTICE III,3,"5 ,510","8,260"
,,XHS30AS,ISIXHOSA III,3,"3 ,190","4,790"
HADPSA,"DIPLOMA IN DESIGN AND STUDIO
ART",ADC5022,ADVANCED DIGITAL LITERACY,1,"5 ,080","7,610"
,,DLC5011,BASIC DIGITAL LITERACY,1,"3 ,290","4,940"
,,LCS5001,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"2 ,950","4,420"
,,NMR5011,NUMERACY,1,"4 ,500","6,750"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,DDS5001,2D AND 3D DESIGN,2,"9 ,150","13,730"
,,DGI5001,DIGITAL IMAGING,2,"1 6,840","25,260"
,,DRG5001,DRAWING,2,"5 ,220","7,830"
,,DSA5022,"WORK-INTEGRATED LEARNING: DESIGN &
STUDIO AR",2,"1 ,320","1,980"
,,PFP5001,PROFESSIONAL PRACTICE,2,"5 ,640","8,470"
,,VCU5001,VISUAL CULTURE,2,"2 ,600","3,900"
,,DRG6002,DRAWING II,3,"6 ,350","9,530"
,,DSA6023,"WORK-INTEGRATED LEARNING: DESIGN &
STUDIO AR",3,"2 ,650","3,980"
,,MMS5001,MANAGEMENT STUDIES,3,"5 ,050","7,570"
,,PFP6002,PROFESSIONAL PRACTICE,3,"6 ,310","9,470"
,,SDP6001,STUDIO PRACTICE,3,"1 1,180","16,780"
,,VCU6002,VISUAL CULTURE,3,"4 ,070","6,110"
,,MMS6002,MANAGEMENT STUDIES,4,"5 ,050","7,570"
,,PFP7003,PROFESSIONAL PRACTICE,4,"4 ,070","6,110"
,,SDP7002,STUDIO PRACTICE,4,"1 4,070","21,100"
,,VCU7003,VISUAL CULTURE,4,"5 ,390","8,080"
SSNDTL,N DIP: LANGUAGE PRACTICE,CPU20BS,COMPUTER USAGE II,2,"8 ,050","12,070"
,,FCH20AS,FRENCH II,2,"5 ,510","8,260"
,,GER20AS,GERMAN II,2,"5 ,510","8,260"
,,LAA20AS,AFRIKAANS II,2,"3 ,190","4,790"
,,LAE20AS,ENGLISH II,2,"3 ,190","4,790"
,,SOT20AS,SESOTHO II,2,"5 ,340","8,030"
,,TSW20AS,SETSWANA II,2,"3 ,190","4,790"
,,TVP20AS,LANGUAGE AND TRANSLATION PRACTICE II,2,"5 ,510","8,260"
,,VBG10AB,CONSUMER BEHAVIOUR I,2,"5 ,320","7,990"
,,VID10AS,VIDEO: THEORY AND PRACTICE I,2,"7 ,220","10,830"
,,XHS20AS,ISIXHOSA II,2,"3 ,190","4,790"
,,FCH30AS,FRENCH III,3,"5 ,510","8,260"
,,GER30AS,GERMAN III,3,"5 ,510","8,260"
,,LAA30AS,AFRIKAANS III,3,"3 ,190","4,790"
,,LAE30AS,ENGLISH III,3,"3 ,190","4,790"
,,OPR11AS,PUBLIC SPEAKING I,3,"2 ,900","4,350"
,,OPR12AS,PUBLIC SPEAKING I,3,"2 ,890","4,330"
,,SAD10AS,BUSINESS ADMINISTRATION I,3,"5 ,320","7,970"
,,SOT30AS,SESOTHO III,3,"5 ,340","8,030"
,,TDN30AS,LANGUAGE DYNAMICS III,3,"5 ,510","8,260"
,,TSW30AS,SETSWANA III,3,"3 ,190","4,790"
,,TVP30AS,LANGUAGE AND TRANSLATION PRACTICE III,3,"5 ,510","8,260"
,,XHS30AS,ISIXHOSA III,3,"3 ,190","4,790"
,,ZUL30AB,ISIZULU III (LANGUAGE X),3,"3 ,190","4,780"
AD_DET,"ADVANCED DIPLOMA IN DESIGN
TECHNOLOGY",ICP407,"IDEATION & COLLABORATIVE PRACTICE IN
INDUSTRY",1,"1 4,600","21,890"
,,MMP417,MATERIALS AND METHODS PROFICIENCY,1,"3 ,590","5,390"
,,PPP427,PRODUCTION & PROCESS MANAGEMENT,1,"4 ,910","7,360"
,,RMC417,"RESEARCH METHODOLOGY AND
COMMUNICATION",1,"5 ,390","8,080"
,,TTS427,TECHNIQUES AND TECHNOLOGY STUDIES,1,"5 ,270","7,900"
AD_LAP,"ADVANCED DIPLOMA IN
LANGUAGE PRACTICE",AFR407E,AFRIKAANS IV,1,"5 ,550","8,320"
,,CRE407C,CREATIVE WRITING,1,"3 ,030","4,540"
,,ENG407C,ENGLISH IV,1,"5 ,550","8,320"
,,FCH407E,FRENCH IV,1,"5 ,550","8,320"
,,GER407E,GERMAN IV,1,"5 ,550","8,320"
,,IRM407C,"INTRODUCTION TO RESEARCH
METHODOLOGY",1,"5 ,550","8,320"
,,IXH407E,ISIXHOSA IV,1,"5 ,550","8,320"
,,SES407E,SESOTHO IV,1,"5 ,550","8,320"
,,TRS407C,TRANSLATION STUDIES IV,1,"5 ,550","8,320"
,,TSW407E,SETSWANA IV,1,"5 ,550","8,320"
AD_MDS,"ADVANCED DIPLOMA IN MEDIA
STUDIES",CWR407C,CREATIVE WRITING FOR THE MEDIA,1,"3 ,030","4,540"
,,EPI427C,ENTREPRENEURSHIP AND INNOVATION,1,"3 ,830","5,740"
,,EPP417C,"ENTREPRENEURSHIP PRINCIPLES AND
PRACTICES",1,"3 ,830","5,740"
,,IRM407C,"INTRODUCTION TO RESEARCH
METHODOLOGY",1,"5 ,550","8,320"
,,MED407C,MEDIA STUDIES IV,1,"5 ,550","8,320"
AD_SAR,"ADVANCED DIPLOMA IN STUDIO
ARTS",CCP427,COMMUNITY COLLABORATIVE PRACTICE,1,"3 ,590","5,390"
,,CRS427,CRITICAL STUDIES,1,"4 ,910","7,360"
,,RMC417,"RESEARCH METHODOLOGY AND
COMMUNICATION",1,"5 ,390","8,080"
,,SDC427,SOCIAL DESIGN AND DESIGN CITIZENSHIP,1,"5 ,270","7,900"
,,STI417,STUDIO INTENSIVE,1,"1 3,870","20,800"
PD_ASD,"PG DIPLOMA ART & SOCIAL
DESIGN",CCP528,COMMUNITY COLLABORATIVE PRACTICE,1,"3 ,950","5,920"
,,CRS528,CRITICAL STUDIES,1,"4 ,910","7,360"
,,RPR518,RESEARCH PROJECT,1,"5 ,860","8,790"
,,SDC528,SOCIAL DESIGN AND DESIGN CITIZENSHIP,1,"5 ,390","8,070"
,,STI518,STUDIO INTENSIVE,1,"1 4,600","21,890"
PD_DTE,"PG DIPLOMA IN DESIGN
TECHNOLOGY",ICP508,"IDEATION AND COLLABORATIVE PRAC IN
INDUSTRY",1,"1 5,310","22,960"
,,MMP518,MATERIALS AND METHODS PROFICIENCY,1,"3 ,950","5,920"
,,PPP528,PRODUCTION AND PROCESS MANAGEMENT,1,"5 ,390","8,070"
,,RPR518,RESEARCH PROJECT,1,"5 ,860","8,790"
,,TTS528,TECHNIQUES AND TECHNOLOGY STUDIES,1,"5 ,740","8,610"
BWPCWC,PG CERTIFICATE IN EDUCATION,CPL21AB,COMPUTER LITERACY II,1,"3 ,350","5,020"
,,INR10AB,INTRODUCTION TO RESEARCH I,1,"5 ,590","8,390"
,,MLO40AB,METHODOLOGY: LIFE ORIENTATION,1,"2 ,970","4,470"
,,MLS40AB,METHODOLOGY: LIFE SCIENCES,1,"2 ,970","4,470"
,,ODW40AB,EDUCATION IV,1,"6 ,160","9,240"
,,RFS40AB,PROFESSIONAL STUDIES IV,1,"5 ,590","8,390"
,,SBL40AB,SCHOOL-BASED LEARNING,1,"3 ,360","5,040"
PD_LAP,"PG DIPLOMA IN LANGUAGE
PRACTIC",ENG507C,ENGLISH V,1,"2 ,530","3,790"
PD_MDS,PG DIPLOMA IN MEDIA STUDIES,BJN507C,BROADCAST JOURNALISM I,1,"3 ,920","5,880"
,,DCM507C,"DIGITAL COMMUNICATIONS AND
MEDIA/MULTIMEDIA I",1,"3 ,920","5,880"
,,MDS507C,MEDIA STUDIES V,1,"3 ,920","5,880"
,,OMS507C,"OPERATIONS MANAGEMENT AND
SUPERVISION I",1,"3 ,920","5,880"
,,PBL507C,PUBLISHING I,1,"3 ,920","5,880"
,,RMT507C,"RESEARCH METHODS IN LANGUAGE AND
COMM II",1,"3 ,920","5,880"
PGCSFP,"PGCE SEN PHASE AND FURTH
EDUC & TRAINING",CLA425E,CONVERSATIONAL LANGUAGE:AFRIKAANS,1,"2 ,170","3,250"
,,CLS425E,CONVERSATIONAL LANGUAGE: SESOTHO,1,"2 ,170","3,250"
,,CLX425E,CONVERSATIONAL LANGUAGE: ISIXHOSA,1,"2 ,170","3,250"
,,CLZ425E,CONVERSATIONAL LANGUAGE: ISIZULU,1,"2 ,160","3,250"
,,CPL415C,COMPUTER LITERACY,1,"3 ,350","5,030"
,,CSG425E,"CONVERSATIONAL LANGUAGE: SA SIGN
LANGUAGE",1,"2 ,170","3,250"
,,EDU407C,EDUCATION,1,"6 ,180","9,270"
